Schistosoma mansoni	Invertebrates	SCHMA	schistosoma	flatworm	6183
Schizosaccharomyces japonicus	Fungi	SCHJY	s_japonicus	s_japonicus	402676
Schizosaccharomyces pombe	Fungi	SCHPO	fission_yeast	fission yeast	284812
Schizosaccharomyces		Schizosaccharomyces			4895
Sclerotinia sclerotiorum	Fungi	SCLS1	sclerotinia	fungi	665079
Selaginella moellendorffii	Plants	SELML	spikemoss	spikemoss	88036
Setaria italica	Plants	SETIT	millet	millet	4555
Shewanella oneidensis	Bacteria	SHEON	shewanella	shewanella	211586
Solanaceae		Solanaceae			4070
Solanoideae		Solanoideae			424551
Solanum lycopersicum	Plants	SOLLC	tomato	tomato	4081
Solanum		Solanum			4107
Solanum tuberosum	Plants	SOLTU	potato	potato	4113
Sordariomyceta		Sordariomyceta			715989
Sordariomycetes-Leotiomycetes		Sordariomycetes-Leotiomycetes			
Sordariomycetes		Sordariomycetes			147550
Sorghum bicolor	Plants	SORBI	sorghum	sorghum	4558
Spinacia oleracea	Plants	SPIOL	spinach	spinach	3562
Spirochaetales		Spirochaetales			136
Staphylococcus aureus	Bacteria	STAA8	staph	staph	93061
Stramenopiles		Stramenopiles			33634
Streptococcaceae		Streptococcaceae			1300
Streptococcus pneumoniae	Bacteria	STRR6	strep	strep	171101
Streptomyces coelicolor	Bacteria	STRCO	streptomyces	bacteria	100226
Streptophyta		Streptophyta			35493
Strongylocentrotus purpuratus	Invertebrates	STRPU	sea_urchin	sea urchin	7668
Sulfolobus solfataricus	Archaea	SACS2	sulfolobus	crenarchaea	273057
Sus scrofa	Mammals	PIG	pig	pig	9823
Synechocystis	Bacteria	SYNY3	synechocystis	cyanobacteria	1111708
Takifugu rubripes	Vertebrates	TAKRU	fugu	fugu	31033
Teleostei		Teleostei			32443
Terrabacteria		Terrabacteria			1783272
Tetrahymena thermophila	Invertebrates	TETTS	tetrahymena	protist	312017
Tetrapoda		Tetrapoda			32523
Thalassiosira pseudonana	Chromalveolata	THAPS	thalassiosira	diatom	35128
